REVIEWER,REVIEW_DATE,REVIEW_DURATION,REVIEW,1 NAME,RATING,NO OF STARS,PRICE,AMENITY 1,AMENITY 2,AMENITY 3,AMENITY 4,HNO
Khyathi,05-May,6 months ago on,Good 1. Rooms are clean and neat. They provide good breakfast. It's very pleasant 1 to stay.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Shashi Prakash Gautam,04-May,10 months ago on,"1 Sekaran is a great choice for those who seek spacious and luxurious rooms at an affordable price. Located in a nice location, the 1 is a perfect option for both leisure and business travelers. The rooms are tastefully decorated, …",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Xplore Tamilan,05-May,4 months ago on,"The 1 atmosphere is very good and morning breakfast is amazing and the rooms are more comfortable, beautiful and safe.",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
RAMAKRISHNAN L,05-May,5 months ago on,This is good  Family friendly 1s. Room Atmosphere is good and clean. Staff also very friendly. Peerungudi Apollo hospital is very nearly..,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Savi Vengat,05-May,5 months ago on,"We just came for treatment purpose,  day one it self we felt like our own house, privacy, cleaning, safety,thire friendly approach, every this is perfect, especially morning food was osm😍, …",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
My Movers,01-May,2 months ago on,"This is by far the worst experience of booking a 1 for official purpose.

This 1 staffs are very arrogant and make us wait for so long to complete a already prebooked room. Once done the room they showed was so stinky and bad. Bathrooms are too worst. When asked for change they said we have to wait for a day. We planned for 5 days stay it was all horrible as it was prebooked.

Breakfast is free but not much options only 4-5 items not worth a penny . I think they don't have any kitchen and just getting it near by road side food dealers as we have to wait every day for food to arrive.

No room service available or intercom facility only you need to call the mobile number. Can you image how bad to do this as most of the time the number is busy.

TV is there but not working. We stayed during ICT world cup cricket and not able to see the single match. We have to use our mobile phones or laptop to watch it

House keeping ?? do they really have one???? not cleaned rooms until 4 days we have to use the same bed liners and items. Hope you guys understand our pain.

Location is prime area but most of the rooms are empty due to this customer service.

Better stay away from this junk 1 if you need peace of mind on your business trip.",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Akshay More,05-May,6 months ago on,"It's very good Place located at the heart of city, frequency to get to this place is regular, polite staff authentic south Indian breakfast..",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
chennamgari rambabu,04-May,6 months ago on,"Rooms are very clean and they have provided nice breakfast,  but please arrange the buckets and mugs in wash rooms",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Hrishekesh Goswami,05-May,4 months ago on,"Perfect 1 to stay
•Good Hospitality
• Good Staff …",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Devanshu Verma,04-May,a year ago on,"We were here for a business trip. Room cleaning was done daily and the assisting staff was also kind and helpful. The breakfast in the morning was from 8 to 10 AM and they provided a variety of foods from tea, bread butter to idli, noodles, …",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Sivanesh sivamani,03-May,2 months ago on,"1. Non refundable advance amount
2. FINAL EB AMOUNT THEY WILL ASK IN CASH IF YOU PAY BY G PAY THEY WILL ASK FOR 18%GST (WHICH THEY DID NOT INFORM  WHILE PAYING ADVANCE AMOUNT).",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Sourabh Mishra,01-May,a year ago on,"Worst staff behaviour in reception.
They gave the room with broken locks of bathroom .TV not working . Dirty beds and bedsheets. …",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Nithin Sadasivan Pillai,03-May,9 months ago on,"Cleanliness is very poor, they didn't provide dental kit until I asked for it. If a person doesnt have any option to stay then they can opt for it.",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Akhil Reddy,05-May,5 months ago on,Comfortable Beds and peacefull environment.. service is also good,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Sebastin Thiagaraj,05-May,5 months ago on,Fantastic place to stay. Warm welcome in reception. Great going,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Karthik Raja,04-May,5 months ago on,Had an amazing stay . Staffs were so friendly as well their service.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
BARATH,02-May,5 months ago on,"worst service ever seen...quality water on toilet is very poor and dirty, water in tap coming complete black colour....overall dissatisfied...",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
PRAVEEN KUMAR S,03-May,9 months ago on,"Good budget 1 for IT employees with complimentary Breakfast..Break fast is okay, but they can try with providing different varieties....Need to book early for confirmations...",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
F&B RAJASEKAR,01-May,a month ago on,"over rated bad 1 for business trips,no customer service",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Somardhadhari Dasgupta,01-May,a year ago on,"Very poor. The chair in the room had dirty stains and the seat was torn. Also, the bed backboard was damaged. The pillow cover had dirty patches all over. The towel was dirty. The washbasin in the bathroom was cracked. Just horrible!",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Jeeva K,05-May,5 months ago on,Room is very neat and clean.staffs are very good.Good place to accommodate.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Nithin Chacko Mathew,01-May,a year ago on,"Even though the 1 amenities are okayish including the dining hall and clean rooms, the service of the staff ruins the whole thing. The rooms don’t have telephones so you have to use your mobile phone to call reception and everything. …",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
keerthi Ganesh,04-May,5 months ago on,Good place to have small events. Rooms are decent.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Dileep Samsung,04-May,5 months ago on,"Very nice 1 for safe stay with in budget, must try",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Roshan Nambiar,05-May,6 months ago on,Great 1 with good breakfast near to IT park excellent staff with good amenities,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
kalimuthu nachimuthu,05-May,2 months ago on,"This place very nice , make paste brush available, it was missing..",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Raj Choudhary,05-May,6 months ago on,1 is very good and 1 staf too. Will stay again in this 1,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Jayanthi Raj,01-May,21 hours ago on,Ridiculous experience in  this cheap class 1,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
manivannan mani,05-May,a year ago on,"Very good experience with sekaran 1. Daily continuous room cleaning, Breakfast facilities and staff behavior as all perfect.",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Lionel Christopher,04-May,11 months ago on,"Visited for a function. The parking was a bit tedious as there were none to organize the cars to be parked properly in the premises.
Lots of mosquitos even within the party hall.",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Maheswari Dharmasanam,04-May,3 months ago on,Everything is good and staff is very helpful. Thank you.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
P. Surya Bharadwaj,05-May,2 years ago on,A well maintained 1 and banquet hall... we can book multiple rooms here for our stay and breakfast is complimentary with the stay in rooms... all the rooms will be sanatized thoroughly and the staff here are also very kind and helpful with the customers who checkout or checkin,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Shameena,02-May,8 months ago on,"Worst rooms, not cleaning well...in toilet there's stains, old and broken tap..",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
TBTA_old SATURDAY PRINCIPAL,01-May,a year ago on,"Horrible experience, irresponsible staffs at reception. No clue about what is customer service.  Stayed here for three weeks multiple times experienced very bad service from staff.  If management don’t monitor these staffs it will be a …",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Nithin K,05-May,a month ago on,Affordable 1 with good facilities.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Sunil Kumar,05-May,6 months ago on,Nice 1...Worth staying here with your friends & family,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
ASIF ALI DAR,05-May,a year ago on,"It is on OMR road near world trade Center chennai. It is good business class 1.
Clean and service is good",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Anand Manohar,05-May,a year ago on,"Very conveniently located. Ample parking slots. Neatly maintained, decently priced. Well behaved, corteous staff. Comfortable, neat rooms. On the whole, a very nice place.",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Hemant Vekhande,04-May,a year ago on,I'm from Mumbai...Came here regarding company work and staying at Se karan 1...Nice 1..Food is tasty and delicious...Thanks,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Arun Kumar,01-May,a year ago on,Booked the mini hall for an event. The ac was not working and the people were sweating all the while. The front desk is unprofessional and not customer friendly. Terrible place to do an event,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Bhaskar S,04-May,10 months ago on,Budget 1 in perungudi. Clean and neatly rooms and friendly staff.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Vijay,01-May,5 months ago on,"One of the worst...

For 2700 rupees nothing is here.",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
devendiran praba,01-May,a year ago on,Poor management mainly receptionist and even worst breakfast. I had worst experience.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Mahendira varman,04-May,7 months ago on,Very nice place and always very good maintenance.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
R R,05-May,4 months ago on,Good one,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Ashishkumar Jagatap,05-May,a year ago on,Best Place to stay ..Breakfast is the best part,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Nagaraj Bathini,05-May,6 months ago on,"I visited 3 times ,nice location .",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Senthil Kumar,05-May,6 months ago on,Nice stay,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Dinakar Pannur,04-May,6 months ago on,Budget friendly 1,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
naresh m,05-May,2 months ago on,It to goo,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Bhuvanes Wari,01-May,a week ago on,Useless,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Kailash Bhatia,04-May,5 months ago on,Pl put up a restaurant.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Mahesh Kolisetty,05-May,a year ago on,One of the best business 1s,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
raja prasanna,04-May,2 years ago on,Small dining hall. Not suitable for populated functions.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
S.Samuel Issac,05-May,6 months ago on,Over all good service,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
palani narayanan,05-May,5 months ago on,Good,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Praneesh B,05-May,a year ago on,Very nice excellent car parking,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Nithya raj,05-May,a year ago on,Friendly staffs and peaceful atmosphere..,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Prabin Rufus,05-May,2 years ago on,Good place for small events and business meet...,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Gv Sasi,03-May,a year ago on,"Good!!!!!!!!
Please fix the intercom  facility and outdoor service.",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Akshat A,01-May,2 months ago on,Pathetic 1,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Rangaswamy M,05-May,5 months ago on,Rest room  cleaning,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Deepu TheRebel,04-May,a year ago on,Perfect for the budget ... Vinoth is very helpful...,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Harish Chinni,01-May,4 weeks ago on,Worst staff,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Shahul Shaik,04-May,2 years ago on,Small and simple halls with dining facility,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Gethin,05-May,2 years ago on,Awesome hall and perfect place for marriage,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
manju nath,05-May,5 months ago on,Good,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Raghvendra Yadav,01-May,a year ago on,Reception guy talk me rudely.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
ram mhaske,04-May,9 months ago on,Nice budget stay,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Rupraj Chakraborty,05-May,a year ago on,Great place for this price!,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
S Farhan,05-May,5 months ago on,Good service...,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
karthi G,05-May,6 months ago on,Super,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Vengadapathy Deivanayagam Vengadapathy Deivanayagam,05-May,5 months ago on,Full satisfaction,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Senthil Kumar,05-May,8 months ago on,Worth for 2000 around,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Mrigendraa Kannan,05-May,a year ago on,Very neat 1!,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
jayanth kumar,05-May,5 months ago on,Good,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
sadiq basha,02-May,2 years ago on,Very conjusted dining,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Ahamed Shah,01-May,a year ago on,Worst parking area,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
kamaraj masilamani,04-May,3 years ago on,Just Ok,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Saptarshi Mitra,05-May,10 months ago on,Nice 1,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
S GOPI,05-May,a year ago on,Ok,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
MJ Velavan,04-May,a year ago on,,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
harry john,05-May,a year ago on,Nice,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Abimanyu S,02-May,3 years ago on,Not much efficient,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Hiet Principal,05-May,3 years ago on,Good,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
damodharan thangamani,04-May,6 months ago on,Good,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
kvinoth kumar,05-May,2 years ago on,Supper,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Nithish Kumar,03-May,3 years ago on,Average,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Anitlin Jinish,04-May,2 years ago on,Great Location....,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Arokiaraj Thomas,05-May,2 years ago on,Good place,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Siva Chandran,05-May,6 months ago on,Good,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Chewang Tamang,01-May,a day ago on,Poor service,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Aravind Kannan,05-May,8 months ago on,Good,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
bastin fernando,04-May,4 months ago on,,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
MANISHA B 20BCO327,04-May,2 months ago on,,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Udhayakumar Selvam,05-May,5 months ago on,,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Namita Sharma,01-May,2 days ago on,Absolutely pathetic service by the staff. No manners and very poor customer management. No clear coordination amongst PPL and rude behaviour with guests. Never ever recommending this 1. Do not ever directly book the rooms. The staff doesn't know know to work in hospitality industry. Very local staff.,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
abhisek samal,01-May,a day ago on,Unprofessional & ridiculous staffs,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Sadeesh Kumar,05-May,3 weeks ago on,,Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Shubham Singh Choudhary,01-May,2 months ago on,"The 1 experience was disappointing – limited services, no on-site restaurant, and a repetitive breakfast menu. The absence of Wi-Fi, infrequent cleaning (every 3 days), and inadequate mosquito control without All-Out refills were …",Sekaran 1 OMR Perungudi,3.8,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi,1
Roger Daniel,05-May,3 weeks ago on,"I recently had a delightful stay at NK Grand 1. The overall experience was fantastic, with impeccable service and top-notch facilities. The staff was exceptionally courteous and went above and beyond to ensure a comfortable stay.

While the majority of the 1 was serene, there was a minor issue with noise from the function hall above, extending past 10pm. However, this was a minor inconvenience compared to the overall positive experience. The rooms were well-appointed, and the amenities provided added a touch of luxury to my stay.

The 1's dining options were impressive, offering a diverse range of delicious cuisines. The attention to cleanliness and hygiene throughout the property was evident and greatly appreciated.

In conclusion, despite the slight noise concern, NK Grand 1 exceeded my expectations with its outstanding service and excellent facilities. I look forward to returning in the future.",1 NK Grand Park,3.9,3,2943,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,2
Ganesh Venkatesan,05-May,a month ago on,"I stayed at this facility with my Dad between Jan 01 and 07, 2024. The staff was wonderful in all aspects. My dad had/has terrible pain and found it real hard to get up and down the two steps from the street to the 1 lobby -- at all …",1 NK Grand Park,3.9,3,2943,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,2
